track_id,state,start_frame,end_frame,duration_seconds,is_value_added,description,zone
1,idle,0,6,1.4,False,,
1,moving_empty,7,12,1.2,True,,
1,idle,13,17,1.0,False,,
1,moving_empty,18,20,0.6,True,,
1,moving_loaded,21,21,0.2,True,,
1,idle,22,22,0.2,False,,
1,moving_empty,23,27,1.0,True,,
1,moving_loaded,28,29,0.4,True,,
2,idle,0,0,0.2,False,,
2,moving_loaded,1,5,1.0,True,,
2,moving_empty,6,7,0.4,True,,
2,moving_loaded,8,9,0.4,True,,
2,moving_empty,10,14,1.0,True,,
3,idle,0,0,0.2,False,,
3,moving_empty,1,6,1.2,True,,
