track_id,state,start_frame,end_frame,duration_seconds,is_value_added,description,zone
3,idle,0,2,1.0,False,,
4,idle,0,2,1.0,False,,
7,idle,0,0,0.33,False,,
7,moving_empty,1,1,0.33,True,,
7,moving_loaded,2,2,0.33,True,,
8,moving_loaded,0,0,0.33,True,,
8,moving_empty,1,1,0.33,True,,
9,moving_loaded,0,0,0.33,True,,
9,moving_empty,1,1,0.33,True,,
11,idle,0,0,0.33,False,,
11,moving_empty,1,1,0.33,True,,
12,moving_loaded,0,1,0.67,True,,
13,moving_loaded,0,0,0.33,True,,
13,moving_empty,1,1,0.33,True,,
