track_id,state,start_frame,end_frame,duration_seconds,is_value_added,description,zone
1,moving_loaded,0,7,1.6,True,,
1,moving_empty,8,11,0.8,True,,
1,moving_loaded,12,18,1.4,True,,
1,moving_empty,19,19,0.2,True,,
1,moving_loaded,20,21,0.4,True,,
1,unloading,22,22,0.2,True,,
1,moving_empty,23,26,0.8,True,,
1,moving_loaded,27,29,0.6,True,,
2,idle,0,0,0.2,False,,
2,moving_loaded,1,5,1.0,True,,
2,moving_empty,6,6,0.2,True,,
2,moving_loaded,7,14,1.6,True,,
3,idle,0,0,0.2,False,,
3,moving_empty,1,1,0.2,True,,
3,moving_loaded,2,6,1.0,True,,
